year_published             avg_price             total_book
-------------------------  --------------------  ----------
1985                       13.99                 2         
1986                       13.99                 1         
1987                       11.99                 2         
1997                       12.99                 1         
1998                       13.99                 1         
1999                       14.99                 1         
2000                       15.99                 1         
2003                       16.99                 1         
2005                       10.99                 1         
2006                       11.99                 1         
