title                                first_name  last_name 
-----------------------------------  ----------  ----------
Pride and Prejudice                  Jane        Austen    
Emma                                 Jane        Austen    
Adventures of Huckleberry Finn       Mark        Twain     
1984                                 George      Orwell    
The Fellowship of the Ring           J.R.R.      Tolkien   
The Two Towers                       J.R.R.      Tolkien   
The Return of the King               J.R.R.      Tolkien   
The Great Gatsby                     F. Scott    Fitzgerald
The Old Man and the Sea              Ernest      Hemingway 
A Tale of Two Cities                 Charles     Dickens   
Murder on the Orient Express         Agatha      Christie  
War and Peace                        Leo         Tolstoy   
The Time Machine                     H.G.        Wells     
Harry Potter and the Sorcerer's Sto  J.K.        Rowling   
Foundation                           Isaac       Asimov    
Sherlock Holmes: A Study in Scarlet  Arthur      Conan Doyl
The Catcher in the Rye               J.D.        Salinger  
The Shining                          Stephen     King      
To Kill a Mockingbird                Harper      Lee       
One Hundred Years of Solitude        Gabriel     García Már
Mrs Dalloway                         Virginia    Woolf     
Ulysses                              James       Joyce     
Brave New World                      Aldous      Huxley    
Fahrenheit 451                       Ray         Bradbury  
