title                                first_name  last_name 
-----------------------------------  ----------  ----------
Pride and Prejudice                  Jane        Austen    
Emma                                 Jane        Austen    
Adventures of Huckleberry Finn       Jane        Austen    
1984                                 Jane        Austen    
The Fellowship of the Ring           Jane        Austen    
The Two Towers                       Jane        Austen    
The Return of the King               Jane        Austen    
The Great Gatsby                     Jane        Austen    
The Old Man and the Sea              Jane        Austen    
A Tale of Two Cities                 Jane        Austen    
Murder on the Orient Express         Jane        Austen    
War and Peace                        Jane        Austen    
The Time Machine                     Jane        Austen    
Harry Potter and the Sorcerer's Sto  Jane        Austen    
Foundation                           Jane        Austen    
Sherlock Holmes: A Study in Scarlet  Jane        Austen    
The Catcher in the Rye               Jane        Austen    
The Shining                          Jane        Austen    
To Kill a Mockingbird                Jane        Austen    
One Hundred Years of Solitude        Jane        Austen    
Mrs Dalloway                         Jane        Austen    
Ulysses                              Jane        Austen    
Brave New World                      Jane        Austen    
Fahrenheit 451                       Jane        Austen    
Pride and Prejudice                  Mark        Twain     
Emma                                 Mark        Twain     
Adventures of Huckleberry Finn       Mark        Twain     
1984                                 Mark        Twain     
The Fellowship of the Ring           Mark        Twain     
The Two Towers                       Mark        Twain     
The Return of the King               Mark        Twain     
The Great Gatsby                     Mark        Twain     
The Old Man and the Sea              Mark        Twain     
A Tale of Two Cities                 Mark        Twain     
Murder on the Orient Express         Mark        Twain     
War and Peace                        Mark        Twain     
The Time Machine                     Mark        Twain     
Harry Potter and the Sorcerer's Sto  Mark        Twain     
Foundation                           Mark        Twain     
Sherlock Holmes: A Study in Scarlet  Mark        Twain     
The Catcher in the Rye               Mark        Twain     
The Shining                          Mark        Twain     
To Kill a Mockingbird                Mark        Twain     
One Hundred Years of Solitude        Mark        Twain     
Mrs Dalloway                         Mark        Twain     
Ulysses                              Mark        Twain     
Brave New World                      Mark        Twain     
Fahrenheit 451                       Mark        Twain     
Pride and Prejudice                  George      Orwell    
Emma                                 George      Orwell    
