date             incident_count 
---------------  ---------------
2024-08-25       92             
2024-08-13       76             
2024-08-08       76             
2024-10-03       75             
2024-07-08       75             
2024-09-03       73             
2024-08-15       65             
2024-07-10       65             
2024-08-14       64             
2024-08-06       59             
2024-08-12       57             
2024-08-07       57             
2024-09-22       56             
2024-08-28       56             
2024-08-27       56             
2024-07-12       56             
2024-09-25       55             
2024-08-17       55             
2024-08-11       54             
2024-08-09       54             
