lat              lng              num_incidents  
---------------  ---------------  ---------------
50.44426         30.52914         30             
50.45662         30.52176         12             
38.8987          -77.037          9              
50.8804          4.4244           9              
50.44425         30.52903         8              
50.4458          30.5289          7              
50.83864         4.37557          6              
55.74992         37.61839         6              
38.89457         -77.04853        4              
38.89758         -77.03435        4              
50.84949         4.36353          4              
38.86818         -77.05553        3              
39.92343         116.43551        3              
40.74888         -73.96801        3              
48.23421         16.41585         3              
50.4458          30.5373          3              
50.87882         4.42694          3              
55.74576         37.58492         3              
68.1517          33.46041         3              
39.91461         116.39204        2              
